+-------+---------------------------------------------------------------------+-------------+
| ID    | post_title                                                          | post_status |
| 1467  | [SCM] - Tip 1 Section                                               | publish     |
| 1464  | [SCM] - CTA with Image Section                                      | publish     |
| 1458  | [SCM] - CTA Section                                                 | publish     |
| 1448  | Resources Archive                                                   | publish     |
| 1408  | [Post] Video Detail Page                                            | publish     |
| 1381  | [Resource] Case Study Detail Page                                   | publish     |
| 1359  | [Resource] Webinar Detail Page                                      | publish     |
| 1331  | [Post] Article Detail Page                                          | publish     |
| 1167  | Maintenance Single                                                  | publish     |
| 731   | [Section] Integration (Single)                                      | publish     |
| 705   | [Accordion Content] Approach                                        | publish     |
| 634   | Single Solution Template                                            | publish     |
| 633   | [Section] FAQ                                                       | publish     |
| 631   | [Section] Our Products                                              | publish     |
| 630   | [Section] Integrations                                              | publish     |
| 629   | [Section] Our Approach & Impact                                     | publish     |
| 624   | [Section] Benefits                                                  | publish     |
| 572   | [Section] Clientele - Static                                        | publish     |
| 571   | [Section] Hero - Simple                                             | publish     |
| 546   | [Section] Testimonials                                              | publish     |
| 543   | [Section] Features                                                  | publish     |
| 537   | [Section] CTA Block                                                 | publish     |
| 494   | Category Archive                                                    | publish     |
| 493   | Blog Filter Popup                                                   | publish     |
| 461   | [Section] Statistics                                                | publish     |
| 455   | [Section] Clientele - Carousel                                      | publish     |
| 406   | Podcasts Archive                                                    | publish     |
| 404   | News Archive                                                        | publish     |
| 329   | [Post] Single News Template                                         | publish     |
| 296   | Solutions                                                           | publish     |
| 225   | Maintenance Single                                                  | publish     |
| 131   | [Page] System Page Template                                         | publish     |
| 126   | Elementor Error 404                                                 | publish     |
| 20    | Footer                                                              | publish     |
| 15    | Header                                                              | publish     |
| 8     | Default Kit                                                         | publish     |
+-------+---------------------------------------------------------------------+-------------+
